C-HaigAvMorelandRd-2012-03-06

countsite, site_description, suburb, dist_from_cbd, easting, northing, melway_ref, primary_road, secondary_road
C-HaigAvMorelandRd, Haig Av Garnet St Shamrock St and Moreland Rd, Coburg, 7.8, 319745.49, 5819481.73, 17 A1, West Brunswick Shimmy, Moreland Rd

countsite, count_date, bin_duration, counting, gender_split, counter
C-HaigAvMorelandRd, 2012-03-06, 15, bicycle riders, Y, 


countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-HaigAvMorelandRd, 2012-03-06 07:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
C-HaigAvMorelandRd, 2012-03-06 07:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
C-HaigAvMorelandRd, 2012-03-06 07:30:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
C-HaigAvMorelandRd, 2012-03-06 07:45:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0
C-HaigAvMorelandRd, 2012-03-06 08:00:00, 15, bicycle riders, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0
C-HaigAvMorelandRd, 2012-03-06 08:15:00, 15, bicycle riders, F, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
C-HaigAvMorelandRd, 2012-03-06 08:30:00, 15, bicycle riders, F, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
C-HaigAvMorelandRd, 2012-03-06 08:45:00, 15, bicycle riders, F, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3

countsite, time, bin_duration, counting, gender, north_turn_left, north_through, north_turn_right, east_turn_left, east_through, east_turn_right, south_turn_left, south_through, south_turn_right, west_turn_left, west_through, west_turn_right
C-HaigAvMorelandRd, 2012-03-06 07:00:00, 15, bicycle riders, M, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1
C-HaigAvMorelandRd, 2012-03-06 07:15:00, 15, bicycle riders, M, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0
C-HaigAvMorelandRd, 2012-03-06 07:30:00, 15, bicycle riders, M, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 3, 1
C-HaigAvMorelandRd, 2012-03-06 07:45:00, 15, bicycle riders, M, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 4
C-HaigAvMorelandRd, 2012-03-06 08:00:00, 15, bicycle riders, M, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 7, 0
C-HaigAvMorelandRd, 2012-03-06 08:15:00, 15, bicycle riders, M, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
C-HaigAvMorelandRd, 2012-03-06 08:30:00, 15, bicycle riders, M, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 2, 4
C-HaigAvMorelandRd, 2012-03-06 08:45:00, 15, bicycle riders, M, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
